stateCode,constituency
TG,Musheerabad
TG,Malakpet
TG,Amberpet
TG,Khairatabad
TG,Jubilee Hills
TG,Sanathnagar
TG,Nampally
TG,Karwan
TG,Goshamahal
TG,Charminar
TG,Chandrayangutta
TG,Yakutpura
TG,Bahadurpura
TG,Secunderabad
TG,Secunderabad Cantt.
TG,Medchal
TG,Malkajgiri
TG,Quthbullapur
TG,Kukatpally
TG,Uppal
TG,Ibrahimpatnam
TG,L. B. Nagar
TG,Maheshwaram
TG,Rajendranagar
TG,Serilingampally
TG,Chevella 
TG,Pargi
TG,Vikarabad 
TG,Tandur
TG,Siddipet
TG,Medak
TG,Narayankhed
TG,Andole 
TG,Narsapur
TG,Zahirabad 
TG,Sangareddy
TG,Patancheru
TG,Dubbak
TG,Gajwel
TG,Sirpur
TG,Chennur 
TG,Bellampalli 
TG,Mancheriala
TG,Asifabad (ST)
TG,Khanapur (ST)
TG,Adliabad
TG,Boath (ST)
TG,Nirmal
TG,Mudhole
TG,Koratla
TG,Jagtial
TG,Dharmapuri 
TG,Ramagundam
TG,Manthani
TG,Peddapalle
TG,Karimnagar
TG,Choppadandi 
TG,Vemulawada
TG,Sircilla
TG,Manakondur 
TG,Huzurabad
TG,Husnabad
TG,Khammam
TG,Palair
TG,Madhira 
TG,Wyra
TG,Sathupalli 
TG,Aswaraopeta
TG,Yellandu
TG,Kothagudem
TG,Bhadrachalam
TG,Pinapaka
TG,Kodangal
TG,Narayanpet
TG,Mahbubnagar
TG,Jadcherla
TG,Devarkadra
TG,Makthal
TG,Wanaparthy
TG,Gadwal
TG,Alampur
TG,Nagarkurnool
TG,Achampet
TG,Kalwakurthy
TG,Shadnagar
TG,Kollapur
TG,Nalgonda
TG,Suryapet
TG,Devarakonda
TG,Nagarjuna Sagar
TG,Miryalaguda
TG,Huzurnagar
TG,Kodad
TG,Munugode
TG,Bhongir
TG,Nakrekal 
TG,Thungathurthi 
TG,Alair
TG,Armur
TG,Bodhan
TG,Jukkal 
TG,Banswada
TG,Yellareddy
TG,Kamareddy
TG,Nizamabad (Urban)
TG,Nizamabad (Rural)
TG,Balkonda
TG,Jangaon
TG,Ghanpur(Station)
TG,Palakurthi
TG,Dornakal
TG,Mahabubabad
TG,Narsampet
TG,Parkal
TG,Warangal West
TG,Warangal East
TG,Waradhanapet
TG,Bhupalpalle
TG,Mulug
TR,Simna
TR,Mohanpur
TR,Bamutia
TR,Barjala
TR,Khayerpur
TR,Agartala
TR,Ramnagar
TR,Town Bordowali
TR,Banamalipur
TR,Majlishpur
TR,Mandaibazar
TR,Takarjala
TR,Pratapgarh
TR,Badharghat
TR,Kamalasagar
TR,Bishalgarh
TR,Golaghati
TR,Suryamaninagar
TR,Charilam
TR,Boxanagar
TR,Nalchar
TR,Sonamura
TR,Dhanpur
TR,Ramchandraghat
TR,Khowai
TR,Asharambari
TR,Kalyanpur-Pramodenagar
TR,Teliamura
TR,Krishnapur
TR,Bagma
TR,Radhakishorpur
TR,Matarbari
TR,Kakraban-Salgarh
TR,Rajnagar
TR,Belonia
TR,Santirbazar
TR,Hrishyamukh
TR,Jolaibari
TR,Manu
TR,Sabroom
TR,Ampinagar
TR,Amarpur
TR,Karbook
TR,Raima Valley
TR,Kamalpur
TR,Surma
TR,Ambassa
TR,Karmachhara
TR,Chawamanu
TR,Pabiachhara
TR,Fatikroy
TR,Chandipur
TR,Kailashahar
TR,Kadamtala-Kurti
TR,Bagbassa
TR,Dharmanagar
TR,Jubarajnagar
TR,Panisagar
TR,Pencharthal
TR,Kanchanpur
UP,Agra Cantt.
UP,Agra North
UP,Agra Rural
UP,Agra South
UP,Ajagara
UP,Akbarpur
UP,Akbarpur - Raniya
UP,Alapur
UP,Aliganj
UP,Aligarh
UP,Allahabad North
UP,Allahabad South
UP,Allahabad West
UP,Amanpur
UP,Amethi
UP,Amritpur
UP,Amroha
UP,Anupshahr
UP,Aonla
UP,Arya Nagar
UP,Asmoli
UP,Atrauli
UP,Atrauliya
UP,Aurai
UP,Auraiya
UP,Ayah Shah
UP,Ayodhya
UP,Azamgarh
UP,Babaganj
UP,Baberu
UP,Babina
UP,Bachhrawan
UP,Badaun
UP,Badlapur
UP,Bagpat
UP,Bah
UP,Baheri
UP,Bahraich
UP,Bairia
UP,Bakshi Kaa Talab
UP,Balamau
UP,Baldev
UP,Balha
UP,Ballia Nagar
UP,Balrampur
UP,Banda
UP,Bangarmau
UP,Bansdih
UP,Bansgaon
UP,Bansi
UP,Bara
UP,Barabanki
UP,Barauli
UP,Baraut
UP,Bareilly
UP,Bareilly Cantt.
UP,Barhaj
UP,Barhapur
UP,Barkhera
UP,Basti Sadar
UP,Behat
UP,Belthara Road
UP,Bhadohi
UP,Bhagwantnagar
UP,Bharthana
UP,Bhatpar Rani
UP,Bhinga
UP,Bhognipur
UP,Bhojipura
UP,Bhojpur
UP,Bhongaon
UP,Bidhuna
UP,Bijnor
UP,Bikapur
UP,Bilari
UP,Bilaspur
UP,Bilgram-Mallanwan
UP,Bilhaur
UP,Bilsi
UP,Bindki
UP,Bisalpur
UP,Bisauli
UP,Biswan
UP,Bithari Chainpur
UP,Bithoor
UP,Budhana
UP,Bulandshahr
UP,Caimpiyarganj
UP,Chail
UP,Chakia
UP,Chamraua
